,CP1_Mild_Moderate,CP2_Severe,CP3_Extreme,State4_Retreatment
CP1_Mild_Moderate,-0.003300422342181076,0.0008670601068441809,2.796968086594132e-05,0.0024053925544709536
CP2_Severe,0.010366227920616517,-0.013094182636568233,0.0014321762258746504,0.0012957784900770647
CP3_Extreme,0.007923169267707083,0.013445378151260505,-0.02256902761104442,0.0012004801920768306
State4_Retreatment,1.9270421829533848e-05,5.781126548860155e-05,1.9270421829533848e-05,-9.635210914766924e-05
