covariate,coef,Hazard Ratio (HR),se(coef),p,exp(coef) lower 95%,exp(coef) upper 95%
Baseline_Phenotype_CP2 (Severo),-0.04221660998433791,0.9586621022977386,0.29717419118333904,0.8870324950734739,0.5354395279302,1.7164086296253518
Baseline_Phenotype_CP3 (Extremo),-0.06947066326755921,0.9328875008541279,0.4302160771118139,0.8717165135114798,0.40144743328729765,2.167853166038407
